Item Name	Type	Subtype	Source	Gold Cost
Amulet of Aberrant Empathy	Wondrous	Neck	Complete Adventurer p 132	1400
Armsbands of Might	Wondrous	Wrist	Complete Adventurer p 132	4100
Badge of Valor	Wondrous	Slotless	Complete Adventurer p 132	1000
Choker of Eloquence	Wondrous	Neck	Complete Adventurer p 132	6000
Greater Choker of Eloquence	Wondrous	Neck	Complete Adventurer p 132	24000
Collar of Obedience	Wondrous	Neck	Complete Adventurer p 132	1500
Crown of Steady Rulership	Wondrous	Head	Complete Adventurer p 132	4500
Flute of the Snake	Wondrous	Equipment	Complete Adventurer p 132	15400
Harp of the Immortal Maestro	Wondrous	Equipment	Complete Adventurer p 133	51000
Headband of Conscious Effort	Wondrous	Head	Complete Adventurer p 133	4000
Jumping Caltrops	Wondrous	Equipment	Complete Adventurer p 133	150
Lute of the Wandering Minstrel	Wondrous	Equipment	Complete Adventurer p 133	29500
Mandolin of the Inspiring Muse	Wondrous	Equipment	Complete Adventurer p 134	42000
Mask of Lies	Wondrous	Face	Complete Adventurer p 134	17000
Medal of Gallantry	Wondrous	Neck	Complete Adventurer p 134	1100
Monocle of Perusal	Wondrous	Face	Complete Adventurer p 134	6500
Papyrus of Deception	Wondrous	Equipment	Complete Adventurer p 134	2000
Pendant of Draconic Empathy	Wondrous	Neck	Complete Adventurer p 134	3300
Possum Pouch	Wondrous	Equipment	Complete Adventurer p 134	1800
Rope of Stone	Wondrous	Equipment	Complete Adventurer p 135	2800
Sandals of Harmonious Balance	Wondrous	Feet	Complete Adventurer p 135	14000
Scarf of Warmth	Wondrous	Neck	Complete Adventurer p 135	250
Shawl of Bewitching	Wondrous	Head	Complete Adventurer p 135	3500
Spellsight Spectacles	Wondrous	Face	Complete Adventurer p 135	2500
Spool of Endless Rope	Wondrous	Equipment	Complete Adventurer p 135	2000
Strings of Spell Storing	Wondrous	Equipment	Complete Adventurer p 136	45000
Stylus of the Masterful Hand	Wondrous	Equipment	Complete Adventurer p 136	3000
Trumpeter's Gift	Wondrous	Equipment	Complete Adventurer p 136	12700
Tunic of Steady Spellcasting	Wondrous	Chest	Complete Adventurer p 136	2500
Vial of the Last Gasp	Wondrous	Consumable	Complete Adventurer p 136	2200
Filcher's Friend	Wondrous	Ring	Complete Adventurer p 130	2500
Ring of Lockpicking	Wondrous	Ring	Complete Adventurer p 130	4500
Blade of Deception	Weapon	Melee	Complete Adventurer p 129	19820
Bow of Songs	Weapon	Ranged	Complete Adventurer p 129	32330
Bowstaff	Weapon	Ranged	Complete Adventurer p 129	10975
Bowstaff	Weapon	Melee	Complete Adventurer p 129	10975
Claws of the Leopard	Weapon	Melee	Complete Adventurer p 129	38305
Dagger of Defense	Weapon	Melee	Complete Adventurer p 129	58302
Guerrilla Spear	Weapon	Melee	Complete Adventurer p 129	32301
Songblade	Weapon	Melee	Complete Adventurer p 130	3360
Armor of Weapon Creation	Armor	Heavy	Arms and Equipment Guide p 93	42305
Bale Eye	Armor	Heavy	Arms and Equipment Guide p 94	38360
Disarmor	Armor	Heavy	Arms and Equipment Guide p 94	10875
Gazebane	Armor	Medium	Arms and Equipment Guide p 94	74050
Plantbane	Armor	Medium	Arms and Equipment Guide p 94	41240
Skin Paint	Wondrous	Consumable	Arms and Equipment Guide p 94	5000
Spider Shield	Shield	Light	Arms and Equipment Guide p 94	40809
Stonecunning	Armor	Heavy	Arms and Equipment Guide p 94	32130
Swarm Shield	Shield	Light	Arms and Equipment Guide p 94	6160
Tessellated Armor	Armor	Heavy	Arms and Equipment Guide p 95	11560
Useful Buckler	Shield	Buckler	Arms and Equipment Guide p 95	10265
Vampire Hunter	Armor	Heavy	Arms and Equipment Guide p 95	100000
Variable Shield	Shield	Light	Arms and Equipment Guide p 95	6560
Acid Fang Dagger	Weapon	Melee	Arms and Equipment Guide p 98	19102
Arrow of Disintegration	Ammunition	Arrow	Arms and Equipment Guide p 98	3307
Arrow of Eyes	Ammunition	Arrow	Arms and Equipment Guide p 98	1047
Arrowdeath Flail	Weapon	Melee	Arms and Equipment Guide p 99	33690
Axe of Anger	Weapon	Melee	Arms and Equipment Guide p 99	18320
Axe of Falls	Weapon	Ranged	Arms and Equipment Guide p 99	50308
Axe of Pairs	Weapon	Melee	Arms and Equipment Guide p 99	50306
Axe of Shards	Weapon	Melee	Arms and Equipment Guide p 99	19330
Axe of Storms	Weapon	Melee	Arms and Equipment Guide p 99	98660
Axe of the Joyous Dance	Weapon	Melee	Arms and Equipment Guide p 99	107906
Axe of the Winds	Weapon	Melee	Arms and Equipment Guide p 99	65930
Badgerclaw	Weapon	Melee	Arms and Equipment Guide p 100	32304
Balor's Sword of Flame	Weapon	Melee	Arms and Equipment Guide p 100	115870
Balor's Sword of Lightning	Weapon	Melee	Arms and Equipment Guide p 100	115870
Balor's Sword of Smiting	Weapon	Melee	Arms and Equipment Guide p 100	118670
Balor's Sword of Soul Stealing	Weapon	Melee	Arms and Equipment Guide p 100	219870
Battleaxe of the Bull	Weapon	Melee	Arms and Equipment Guide p 100	16310
Blade of the Duelist	Weapon	Melee	Arms and Equipment Guide p 100	16320
Bladed Crossbow	Weapon	Ranged	Arms and Equipment Guide p 100	32350
Bolt of Freedom	Ammunition	Bolt	Arms and Equipment Guide p 101	247
Bolt of Voices	Ammunition	Bolt	Arms and Equipment Guide p 101	767
Bonebreaker Hammer	Weapon	Melee	Arms and Equipment Guide p 101	18312
Bow of Arcane Might	Weapon	Ranged	Arms and Equipment Guide p 101	4600
Bow of Force	Weapon	Ranged	Arms and Equipment Guide p 102	32700
Bow of Mighty Pulling	Weapon	Ranged	Arms and Equipment Guide p 102	26375
Bow of Radiance	Weapon	Ranged	Arms and Equipment Guide p 102	40375
Bow of the Solars	Weapon	Ranged	Arms and Equipment Guide p 102	100100
Bow of Songs	Weapon	Ranged	Arms and Equipment Guide p 102	16330
Bow of the Steppes	Weapon	Ranged	Arms and Equipment Guide p 103	9525
Bow of Sympathetic Enhancement	Weapon	Ranged	Arms and Equipment Guide p 103	32300
Breaking Blade	Weapon	Melee	Arms and Equipment Guide p 103	9310
Brutal Axe	Weapon	Melee	Arms and Equipment Guide p 103	18310
